-1.288645934813280576e-18 1.309307341415954395e+00
1.632884575953239041e-12 1.286527288930970903e+00
2.013578189087022092e-12 1.286527288924525614e+00
2.582932059231500038e-14 1.286527288920245926e+00
-1.699069329565499519e-11 1.279902100880874194e+00
-9.937327461319777829e-12 1.263910807276666270e+00
-1.760617900688096558e-12 1.354372559021436606e+00
1.275533378415491523e-11 1.257816274537165491e+00
1.908925700160302561e-12 1.372376938165040805e+00
-9.451142457931531825e-12 1.382057961245950262e+00
